bird.id,color.band,round,soc.trt,inf.trt,inf.feed,trt1,cage.id,nov.PID,nov.time,norm.PID,norm.time,high.lvl.nov,high.lvl.norm,nov.end,norm.end,sec.imm.bl,nov.eat,norm.eat,sec.to.eat.nov,sec.to.eat.norm,perch.nov,perch.norm,sec.to.perch.nov,sec.to.perch.norm,close.nov,close.norm,sec.to.close.nov,sec.to.close.norm,top.nov,top.norm,sec.to.top.nov,sec.to.top.norm,bott.nov,bott.norm,sec.to.bott.nov,sec.to.bott.norm
2622,d,2,fl,i,i,fl_i,16,12,700,11,703,2,5,3126.62,512.454,,n,y,NA,512.454,n,y,NA,511.21,n,y,NA,502.662,y,y,2005.406,92.759,y,n,1288.431,NA
2674,y,2,fl,c,i,fl_i,16,12,700,11,703,5,5,1194.777,422.799,,y,y,1194.777,135.047,y,y,1128.541,132.306,y,y,1104.82,95.281,y,y,129.444,86.23,y,y,123.584,145.054
2612,w,2,fl,f,i,fl_i,16,12,700,11,703,5,5,1158.666,177.362,,y,y,1032.395,157.368,y,y,1025.623,150.616,n,n,NA,NA,y,y,310.821,172.118,y,n,1143.284,NA
2626,o,2,fl,f,i,fl_i,16,12,700,11,703,5,5,1266.426,180.124,,y,y,1266.426,147.363,y,y,1263.929,145.113,y,y,1023.388,143.478,y,y,129.083,93.229,y,y,147.318,90.231
2669,r,2,fl,f,i,fl_i,16,12,700,11,703,5,5,1204.279,215.929,,y,y,970.627,213.686,y,y,966.891,210.358,n,y,NA,200.632,y,n,108.822,NA,y,y,116.777,129.724
2700,d,2,fl,i,i,fl_i,13,12,703,11,706,5,5,1018.961,369.669,,y,y,1018.961,125.29,y,y,1014.435,124.263,y,y,1013.169,364.513,y,y,695.353,113.51,n,y,NA,361.625
2677,r,2,fl,c,i,fl_i,13,12,703,11,706,5,5,1288.22,425.317,,y,y,1288.22,425.317,y,y,1252.15,424.064,y,y,1149.791,239.865,y,y,221.366,167.818,y,n,1173.543,NA
2639,y,2,fl,f,i,fl_i,13,12,703,11,706,5,5,1575.86,330.15,,y,y,1575.86,330.15,y,y,1557.092,325.644,y,y,1311.965,322.896,y,y,1282.962,317.137,y,n,1303.087,NA
2661,w,2,fl,f,i,fl_i,13,12,703,11,706,2,5,3088.12,1069.542,,n,y,NA,1069.542,n,y,NA,578.725,n,y,NA,444.836,y,y,76.225,90.734,y,y,1509.224,191.888
2707,r,2,fl,i,i,fl_i,17,12,701,11,704,2,5,3111.31,309.639,,n,y,NA,294.598,n,y,NA,293.598,n,y,NA,284.831,y,y,43.71,167.076,y,y,678.068,281.336
2635,y,2,fl,c,i,fl_i,17,12,701,11,704,2,5,3111.31,312.157,,n,y,NA,107.756,n,y,NA,102.995,n,y,NA,93.233,y,y,138.046,112.757,y,y,106.178,80.487
2701,d,2,fl,f,i,fl_i,17,12,701,11,704,3,5,3111.31,73.402,,n,y,NA,66.401,n,y,NA,63.902,y,y,58.205,63.155,y,y,49.971,38.401,y,y,765.793,53.902
2573,o,1,s,c,c,s_c,9,12,701,11,702,2,5,3047.23,666.685,,n,y,NA,652.94,n,y,NA,649.68,n,y,NA,540.183,y,y,820.467,23.915,y,y,830.493,26.409
2580,o,1,s,c,c,s_c,12,12,702,11,703,3,5,3199.4,373.175,47.206,n,y,NA,266.415,n,y,NA,264.911,y,n,258.171,NA,y,y,221.12,254.405,y,y,251.171,255.411
2603,o,1,s,c,c,s_c,11,12,702,11,703,3,5,3199.4,118.158,0,n,y,NA,52.161,n,y,NA,51.422,y,n,1137.588,NA,y,n,239.908,NA,y,y,62.458,17.918
2611,d,1,s,c,c,s_c,10,12,701,11,702,2,5,3047.23,2700,,n,y,NA,2214.051,n,y,NA,2210.563,n,n,NA,NA,n,n,NA,NA,y,y,1619.994,2203.054
2617,o,2,s,c,c,s_c,22,12,654,11,658,2,5,3246.29,800.909,,n,y,NA,800.909,n,y,NA,800.674,n,y,NA,800.175,y,y,242.688,545.217,y,y,872.772,795.908
2624,o,2,s,c,c,s_c,23,12,655,11,659,1,5,2265.9,1175.932,,n,y,NA,1109.66,n,y,NA,1109.564,n,n,NA,NA,y,n,1827.65,NA,n,y,NA,1099.923
2629,o,2,s,c,c,s_c,21,12,658,11,654,2,5,3246.29,1110.213,,n,y,NA,1054.638,n,y,NA,1049.892,n,y,NA,1048.636,y,y,879.287,557.658,y,y,910.207,1041.886
2653,o,2,s,c,c,s_c,24,12,655,11,659,5,5,2124.321,1151.402,,y,y,2124.321,1151.402,y,y,2119.295,1145.64,y,n,2118.286,NA,y,y,1545.135,1138.896,y,y,1540.129,1102.64
2594,d,1,s,i,i,s_i,8,12,703,11,704,0,2,3239.581,3226.633,445.225,n,n,NA,NA,n,n,NA,NA,n,n,NA,NA,n,n,NA,NA,n,y,NA,21.653
2599,d,1,s,i,i,s_i,3,12,707,11,710,2,5,3192.83,664.659,253.646,n,y,NA,408.667,n,y,NA,405.916,n,n,NA,NA,y,n,431.202,NA,y,y,443.914,392.677
2606,d,1,s,i,i,s_i,7,12,704,11,705,2,2,3226.92,2377.839,222.059,n,n,NA,NA,n,n,NA,NA,n,n,NA,NA,y,n,2997.35,NA,y,y,1063.08,19.154
2607,o,1,s,i,i,s_i,6,12,705,11,706,0,3,3187.09,2422.318,,n,n,NA,NA,n,n,NA,NA,n,y,NA,1541.24,n,y,NA,86.422,n,y,NA,77.001
2642,d,2,s,i,i,s_i,18,12,659,11,702,4,5,3163.13,1545.484,,n,y,NA,1520.256,y,y,2348.32,1512.752,y,n,1111.524,NA,y,y,846.52,1464.746,y,y,882.776,1482.746
2649,o,2,s,i,i,s_i,19,12,657,11,701,3,5,3215.48,1136.046,,n,y,NA,1136.046,n,y,NA,1088.772,y,y,31.903,1088.018,y,n,26.9,NA,y,n,29.403,NA
2656,d,2,s,i,i,s_i,15,12,702,11,705,1,1,3112.17,2665.62,,n,n,NA,NA,n,n,NA,NA,n,n,NA,NA,y,y,1901.119,281.679,n,n,NA,NA
2716,d,2,s,i,i,s_i,20,12,656,11,700,2,2,3250.75,2914.2,,n,n,NA,NA,n,n,NA,NA,n,n,NA,NA,y,y,2323.47,42.904,y,y,2377.221,2799.248
