bird.id,flock.trt,assign.trt,mg.status,PID,PID.code,l.score,r.score,comb.score
2629,s,sc,u,12,d,0,0,0
2635,fl,sc,i,12,d,1.5,0,1.5
2639,fl,nt,i,12,d,0.5,0.5,1
2642,s,i,i,12,d,1.5,1.5,3
2649,s,i,i,12,d,3,2,5
2653,s,sc,u,12,d,0,0,0
2656,s,i,i,12,d,1.5,1.5,3
2661,fl,nt,i,12,d,1,0,1
2666,fl,nt,i,12,d,1.5,0,1.5
2669,fl,nt,i,12,d,2,0,2
2673,fl,nt,u,12,d,0,0,0
2674,fl,sc,i,12,d,2,0,2
2677,fl,sc,i,12,d,0.5,0,0.5
2680,fl,nt,u,12,d,0,0,0
2688,fl,nt,u,12,d,0,0,0
2696,fl,nt,u,12,d,0,0,0
2700,fl,i,i,12,d,2,2.5,4.5
2701,fl,nt,i,12,d,1,0,1
2707,fl,i,i,12,d,2,1.5,3.5
2711,fl,nt,u,12,d,0,0,0
2714,fl,sc,u,12,d,0,0,0
2716,s,i,i,12,d,0.5,0,0.5
2572,fl,i,i,16,c,1,1.5,2.5
2573,s,sc,u,15,c,0,0,0
2574,fl,nt,i,15,c,0,1.5,1.5
2577,fl,nt,u,15,c,0,0,0
2579,fl,i,i,15,c,1.5,1.5,3
2580,s,sc,u,16,c,0,0,0
2582,fl,sc,u,16,c,0,0,0
2583,fl,nt,i,15,c,0,1,1
2585,fl,i,i,15,c,0.5,0,0.5
2586,fl,nt,i,15,c,2,0,2
2588,fl,sc,i,16,c,2.5,0,2.5
2590,fl,nt,u,15,c,0,0,0
2592,fl,nt,u,15,c,0,0,0
2593,fl,nt,i,15,c,1,0,1
2594,s,i,i,16,c,3,3,6
2596,fl,nt,u,15,c,0,0,0
2597,fl,sc,u,16,c,0,0,0
2598,fl,nt,i,15,c,1,1,2
2599,s,i,i,15,c,1.5,1,2.5
2600,fl,nt,i,15,c,0.5,0,0.5
2602,fl,nt,u,15,c,0,0,0
2603,s,sc,u,15,c,0,0,0
2605,fl,nt,u,15,c,0,0,0
2606,s,i,i,16,c,1,1,2
2607,s,i,i,15,c,3,3,6
2609,fl,i,i,15,c,2.5,2.5,5
2610,fl,sc,u,15,c,0,0,0
2611,s,sc,u,16,c,0,0,0
2612,fl,nt,i,15,c,1.5,1,2.5
2617,s,sc,u,16,c,0,0,0
2621,fl,i,i,15,c,1,1.5,2.5
2622,fl,i,i,15,c,1.5,1.5,3
2624,s,sc,u,16,c,0,0,0
2626,fl,nt,i,15,c,3,0,3
2629,s,sc,u,16,c,0,0,0
2635,fl,sc,i,15,c,3,0,3
2639,fl,nt,i,15,c,0.5,0.5,1
2642,s,i,i,15,c,1.5,1.5,3
2649,s,i,i,15,c,3,3,6
2653,s,sc,u,15,c,0,0,0
